feature,raw_abs_corr,raw_mi,log_abs_corr,log_mi,poly_abs_corr,poly_mi,best_transform
station_ST-1035,0.007728639015248247,0.0022839629868807165,0.00772863901524885,0.0022839629868807165,0.007728639015248247,0.0008316198353446325,log1p
station_ST-454,0.015219709687609956,0.002222363783451975,0.015219709687610147,0.002222363783451975,0.015219709687609956,0.0005073048542447722,log1p
station_ST-462,0.0313335278001827,0.0021945940603513847,0.03133352780018284,0.0021945940603513847,0.0313335278001827,0.001102311095695363,log1p
station_ST-459,0.006215473524334232,0.0021803749473736644,0.00621547352433429,0.0021803749473736644,0.006215473524334232,0.0011610961768147021,log1p
station_ST-471,0.011692634639638318,0.0021134218032656804,0.011692634639638374,0.0021134218032656804,0.011692634639638318,0.001553654800542148,log1p
station_ST-2244,0.0009324347728593662,0.002109048175863215,0.0009324347728594607,0.002109048175863215,0.0009324347728593662,0.0015258786133545144,log1p
station_ST-2825,0.0030477209893620175,0.0020947757075591156,0.0030477209893621806,0.0020947757075591156,0.0030477209893620175,0.0010619531158111428,log1p
station_ST-2775,0.0013913696657590498,0.0020600955601270954,0.0013913696657591556,0.0020600955601270954,0.0013913696657590498,0.0012251956899378413,log1p
station_ST-460,0.009817744033803933,0.002051321263200734,0.009817744033804601,0.002051321263200734,0.009817744033803933,0.0016822176949267131,log1p
station_ST-3028,0.006160243459117992,0.0020467479529759913,0.0061602434591179955,0.0020467479529759913,0.006160243459117992,0.0014227091162481997,log1p
station_ST-2781,0.003514032445120034,0.002033297331355044,0.0035140324451200544,0.002033297331355044,0.003514032445120034,0.00137945411656748,log1p
station_ST-3126,0.005655773054948418,0.0020317023234888154,0.005655773054948456,0.0020317023234888154,0.005655773054948418,0.0013667005356117201,log1p
station_ST-1025,0.007232759705274332,0.002002357074030847,0.007232759705274482,0.002002357074030847,0.007232759705274332,0.0013403751470226766,log1p
station_ST-1036,0.00881691293896498,0.002001087901404297,0.008816912938965407,0.002001087901404297,0.00881691293896498,0.0009509525886342018,log1p
station_ST-1488,0.005229319495577724,0.0019913514760965256,0.00522931949557809,0.0019913514760965256,0.005229319495577724,0.0013965593532319076,log1p
station_ST-455,0.003697304628265348,0.001989393803518702,0.0036973046282654516,0.001989393803518702,0.003697304628265348,0.0011661694735654038,log1p
station_ST-2785,0.005968291811478772,0.001986207160203257,0.005968291811478927,0.001986207160203257,0.005968291811478772,0.0012818522902433571,log1p
station_ST-478,0.008154557320906157,0.001982429082666215,0.008154557320906268,0.001982429082666215,0.008154557320906157,0.0013027739081490353,log1p
station_ST-2777,0.007887826636281303,0.0019786876714213975,0.007887826636281446,0.0019786876714213975,0.007887826636281303,0.001425774669426616,log1p
station_ST-2243,0.004874858162729116,0.0019721616506602757,0.004874858162729234,0.0019721616506602757,0.004874858162729116,0.0013502433857093266,log1p
station_ST-2260,0.017484523483840077,0.001955237463442394,0.017484523483840244,0.001955237463442394,0.017484523483840077,0.001409799980124582,log1p
station_ST-453,0.004847393870650098,0.0019526178398621141,0.004847393870650529,0.0019526178398621141,0.004847393870650098,0.001222901877360627,log1p
station_ST-448,0.008154643988360029,0.0019480005734289207,0.008154643988360527,0.0019480005734289207,0.008154643988360029,0.001333763983863534,log1p
station_ST-2783,0.00538245681248047,0.0019426800017807722,0.005382456812480754,0.0019426800017807722,0.00538245681248047,0.001287612944690153,log1p
station_ST-452,0.0004418092408780411,0.0019254406479163322,0.00044180924087812017,0.0019254406479163322,0.0004418092408780411,0.0013567381113794852,log1p
station_ST-3127,0.0018657101451028204,0.0019156408550635717,0.0018657101451029089,0.0019156408550635717,0.0018657101451028204,0.0014978444759812248,log1p
station_ST-1489,0.0010198697705775667,0.0019085564146310574,0.001019869770577651,0.0019085564146310574,0.0010198697705775667,0.0013652665065864156,log1p
station_ST-2245,0.0010462823174038234,0.001901827810801393,0.0010462823174039347,0.001901827810801393,0.0010462823174038234,0.0013886481854541444,log1p
station_ST-3095,0.0051731114216307696,0.0019017225077151423,0.005173111421630868,0.0019017225077151423,0.0051731114216307696,0.0014587465144408895,log1p
적설량,0.0034975856093005,0.0018983319872054594,0.004101887744850303,0.001896894602402277,0.0034975856093005,0.0014732627246694108,log1p
station_ST-2252,0.014722168313725517,0.001898050567652021,0.014722168313726497,0.001898050567652021,0.014722168313725517,0.001563100323589417,log1p
station_ST-3201,0.004525652316491406,0.0018964058068622336,0.004525652316491735,0.0018964058068622336,0.004525652316491406,0.001351222874546032,log1p
station_ST-467,0.008140862627817448,0.0018953590449211077,0.00814086262781753,0.0018953590449211077,0.008140862627817448,0.0014828336356513816,log1p
station_ST-1479,0.004528747758667498,0.0018897057854356802,0.004528747758667666,0.0018897057854356802,0.004528747758667498,0.001358658220429021,log1p
station_ST-1039,0.009483265353466054,0.001887426576633544,0.009483265353466616,0.001887426576633544,0.009483265353466054,0.0014000538092142634,log1p
station_ST-2778,0.005885782902711817,0.001879085714404205,0.005885782902712272,0.001879085714404205,0.005885782902711817,0.0012441299075014456,log1p
