측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지_1시간,미세먼지_24시간,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
202501040100,101,서북권,111181,은평구,36,28,20,0.025,0.0126,0.58,0.0036
202501040200,101,서북권,111181,은평구,26,28,19,0.0243,0.0125,0.66,0.0037
202501040300,101,서북권,111181,은평구,38,30,23,0.0245,0.0119,0.6,0.0037
202501040400,101,서북권,111181,은평구,34,31,20,0.0243,0.0124,0.58,0.0037
202501040500,101,서북권,111181,은평구,26,29,19,0.021,0.0119,0.54,0.0034
202501040600,101,서북권,111181,은평구,26,29,15,0.0162,0.016,0.53,0.0034
202501040700,101,서북권,111181,은평구,25,28,18,0.0151,0.0188,0.53,0.0033
202501040800,101,서북권,111181,은평구,27,27,12,0.0183,0.0156,0.51,0.0034
202501040900,101,서북권,111181,은평구,29,28,17,0.0089,0.0282,0.65,0.0034
202501041000,101,서북권,111181,은평구,39,30,18,0.0086,0.0311,0.69,0.0039
202501041100,101,서북권,111181,은평구,40,33,22,0.0144,0.0283,0.71,0.0038
202501041200,101,서북권,111181,은평구,28,33,13,0.0208,0.0205,0.57,0.0036
202501041300,101,서북권,111181,은평구,22,31,12,0.0236,0.0163,0.5,0.0036
202501041400,101,서북권,111181,은평구,23,29,10,0.0264,0.0127,0.44,0.0036
202501041500,101,서북권,111181,은평구,19,26,7,0.0266,0.0136,0.43,0.0036
202501041600,101,서북권,111181,은평구,31,26,11,0.0212,0.023,0.5,0.004
202501041700,101,서북권,111181,은평구,38,28,14,0.0192,0.0258,0.51,0.004
202501041800,101,서북권,111181,은평구,35,30,16,0.0136,0.0335,0.59,0.0043
202501041900,101,서북권,111181,은평구,32,32,15,0.0097,0.0358,0.59,0.004
202501042000,101,서북권,111181,은평구,29,32,9,0.0091,0.0342,0.58,0.0036
202501042100,101,서북권,111181,은평구,25,30,12,0.0099,0.0313,0.59,0.0034
202501042200,101,서북권,111181,은평구,29,29,16,0.0125,0.0284,0.58,0.0035
202501042300,101,서북권,111181,은평구,30,28,13,0.0153,0.0249,0.59,0.0035
202501050000,101,서북권,111181,은평구,32,29,9,0.0185,0.0211,0.61,0.0037
202501050100,101,서북권,111181,은평구,26,29,9,0.0215,0.0179,0.59,0.0037
202501050200,101,서북권,111181,은평구,31,30,11,0.0213,0.0186,0.6,0.0037
202501050300,101,서북권,111181,은평구,26,30,11,0.0217,0.0178,0.57,0.0037
202501050400,101,서북권,111181,은평구,27,29,14,0.0245,0.014,0.54,0.0036
202501050500,101,서북권,111181,은평구,36,30,24,0.0226,0.0155,0.56,0.0036
202501050600,101,서북권,111181,은평구,39,31,20,0.0217,0.0152,0.56,0.0035
202501050700,101,서북권,111181,은평구,25,31,14,0.0226,0.0134,0.55,0.0032
202501050800,101,서북권,111181,은평구,27,31,19,0.0209,0.0141,0.56,0.0031
202501050900,101,서북권,111181,은평구,27,30,17,0.0196,0.015,0.57,0.003
202501051000,101,서북권,111181,은평구,33,29,18,0.02,0.0155,0.58,0.003
202501051100,101,서북권,111181,은평구,25,29,21,0.0199,0.0164,0.59,0.003
