날짜,역명,구분,새벽,출근,낮,퇴근,출근_ratio,퇴근_ratio,commute_balance,위도,경도
2024-01-01,구파발,승차,1294,1183,5411,2121,0.11819362573683685,0.21190928164651812,-0.2838983050847458,37.636763,126.918821
2024-01-01,구파발,하차,1825,1399,5335,2087,0.1314108585384182,0.19603606988540298,-0.19736087205966724,37.636763,126.918821
2024-01-01,연신내,승차,2137,2671,8679,2739,0.1646123505485024,0.1688031554295575,-0.012569316081330868,37.61878,126.9213
2024-01-01,연신내,승차,2137,2671,8679,2739,0.1646123505485024,0.1688031554295575,-0.012569316081330868,37.618636,126.920625
2024-01-01,연신내,승차,2137,2671,8679,2739,0.1646123505485024,0.1688031554295575,-0.012569316081330868,37.619229,126.921038
2024-01-01,연신내,하차,3698,1797,7137,4003,0.10802524797114517,0.24063721070033062,-0.3803448275862069,37.61878,126.9213
2024-01-01,연신내,하차,3698,1797,7137,4003,0.10802524797114517,0.24063721070033062,-0.3803448275862069,37.618636,126.920625
2024-01-01,연신내,하차,3698,1797,7137,4003,0.10802524797114517,0.24063721070033062,-0.3803448275862069,37.619229,126.921038
2024-01-01,불광,승차,873,1143,4424,1568,0.14273226773226774,0.1958041958041958,-0.1567687200295094,37.610873,126.92939
2024-01-01,불광,승차,873,1143,4424,1568,0.14273226773226774,0.1958041958041958,-0.1567687200295094,37.610553,126.92982
2024-01-01,불광,하차,1595,1164,4657,1814,0.12611050920910075,0.19653304442036837,-0.2182672934855608,37.610873,126.92939
2024-01-01,불광,하차,1595,1164,4657,1814,0.12611050920910075,0.19653304442036837,-0.2182672934855608,37.610553,126.92982
2024-01-01,녹번,승차,520,1154,3243,825,0.20097526994078718,0.14367816091954022,0.1662455785750379,37.600927,126.935756
2024-01-01,녹번,하차,1470,529,2164,1510,0.09324872201656971,0.2661731006522122,-0.4811181951937224,37.600927,126.935756
2024-01-01,응암,승차,868,1508,4266,1222,0.19175991861648017,0.15539165818921669,0.10476190476190476,37.598605,126.915577
2024-01-01,응암,하차,2005,929,3455,2112,0.10928126102811433,0.24844135984001883,-0.38901677079907926,37.598605,126.915577
2024-01-01,역촌,승차,167,345,967,268,0.1974813966800229,0.1534058385804236,0.12561174551386622,37.606021,126.922744
2024-01-01,역촌,하차,498,300,824,502,0.14124293785310735,0.23634651600753295,-0.2518703241895262,37.606021,126.922744
2024-01-01,불광,승차,343,286,1251,572,0.1166394779771615,0.233278955954323,-0.3333333333333333,37.610873,126.92939
2024-01-01,불광,승차,343,286,1251,572,0.1166394779771615,0.233278955954323,-0.3333333333333333,37.610553,126.92982
2024-01-01,불광,하차,395,341,1178,395,0.1476829796448679,0.17106972715461238,-0.07336956521739131,37.610873,126.92939
2024-01-01,불광,하차,395,341,1178,395,0.1476829796448679,0.17106972715461238,-0.07336956521739131,37.610553,126.92982
