dong,month,age_group,총인구,1인가구수,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 많은 집단,생활서비스 이용이 많은 집단,lat,lng
불광1동,2,2,9260.0,993.49,151.91,65.5,111.25,64.81,92.01,37.602766,126.928839
불광1동,2,3,6411.0,1835.17,309.37,169.39,282.49,11.99,208.89,37.602766,126.928839
불광1동,3,0,8465.0,1309.59,156.33,122.99,127.77,276.07,124.28,37.602766,126.928839
불광1동,3,1,9798.0,1204.45,178.15,78.81,135.48,213.05,106.21,37.602766,126.928839
불광1동,3,2,9311.0,984.55,150.09,61.42,106.58,61.19,95.04,37.602766,126.928839
불광1동,3,3,6600.5,1853.11,316.82,170.26,252.29,11.91,208.24,37.602766,126.928839
불광1동,4,0,8450.0,1294.72,161.21,116.68,126.52,263.78,127.6,37.602766,126.928839
불광1동,4,1,9761.0,1195.24,152.99,91.73,124.64,217.15,110.39,37.602766,126.928839
불광1동,4,2,9361.0,983.0,130.86,68.97,95.8,65.23,93.04,37.602766,126.928839
불광1동,4,3,6794.0,1901.59,268.19,161.34,245.76,13.19,202.47,37.602766,126.928839
불광1동,5,0,8433.0,1259.38,145.87,127.06,108.72,246.45,125.57,37.602766,126.928839
불광1동,5,1,9724.0,1204.86,160.83,102.69,126.72,210.37,117.04,37.602766,126.928839
불광1동,5,2,9412.0,994.1,138.66,71.22,98.33,69.24,93.95,37.602766,126.928839
불광1동,5,3,6641.0,1899.86,282.40999999999997,162.15,239.46,12.42,220.22,37.602766,126.928839
불광1동,6,0,8420.0,1276.3,136.01999999999998,135.59,102.79,247.02,127.83,37.602766,126.928839
불광1동,6,1,9688.0,1197.12,166.56,91.55,122.51,214.08,114.96,37.602766,126.928839
불광1동,6,2,9463.0,997.15,146.28,68.14,96.91,68.53,95.97,37.602766,126.928839
불광1동,6,3,6719.0,1899.83,332.99,154.48,242.28,12.88,215.19,37.602766,126.928839
불광1동,7,0,8403.0,1283.43,138.57999999999998,140.76999999999998,104.47,248.67,123.58,37.602766,126.928839
불광1동,7,1,9652.0,1193.44,181.51,89.17,128.98,209.45,106.5,37.602766,126.928839
불광1동,7,2,9512.0,1010.36,161.8,76.52,103.29,67.05,92.97,37.602766,126.928839
불광1동,7,3,6796.0,1902.23,368.3,156.74,205.52,12.65,218.76,37.602766,126.928839
불광1동,8,0,8389.0,1294.06,149.98,136.66,116.76,249.73,132.04999999999998,37.602766,126.928839
불광1동,8,1,9615.0,1193.68,182.46,100.85,124.95,212.89,109.79,37.602766,126.928839
불광1동,8,2,9564.0,1008.15,164.37,76.59,101.27,66.39999999999999,90.99,37.602766,126.928839
불광1동,8,3,6873.0,1942.31,364.27,160.59,206.96,13.17,217.26,37.602766,126.928839
불광1동,9,0,8372.0,1280.9,145.06,124.12,124.57,252.74,135.92000000000002,37.602766,126.928839
불광1동,9,1,9580.0,1189.99,188.9,85.63,123.84,205.74,108.87,37.602766,126.928839
불광1동,9,2,9612.0,1013.78,168.99,68.57,110.34,65.25,92.51,37.602766,126.928839
불광1동,9,3,6950.0,1979.43,400.42,162.8,234.16,13.46,212.99,37.602766,126.928839
불광1동,10,0,8356.0,1257.38,156.48,115.13,116.75,241.48,126.53,37.602766,126.928839
불광1동,10,1,9544.0,1184.45,176.41,91.05,129.22,207.77,102.2,37.602766,126.928839
불광1동,10,2,9663.0,1020.69,171.75,74.4,103.96,67.19,92.77,37.602766,126.928839
불광1동,10,3,7027.0,2106.56,424.75,168.37,252.08999999999995,13.5,238.08999999999995,37.602766,126.928839
불광1동,11,0,8342.0,1250.1,154.09,124.31,115.3,230.63,121.38,37.602766,126.928839
불광1동,11,1,9508.0,1181.51,173.41,91.92,116.21,209.33,105.96,37.602766,126.928839
불광1동,11,2,9714.0,1040.33,166.35,76.39,109.25,69.74000000000001,98.64,37.602766,126.928839
불광1동,11,3,7104.0,2031.03,400.88,167.04,240.04,13.9,224.94,37.602766,126.928839
불광1동,12,0,7178.0,1075.93,123.04,102.92,101.54,214.62,111.09,37.602766,126.928839
불광1동,12,1,7370.0,895.9799999999999,131.09,63.92,90.81,157.36,83.23,37.602766,126.928839
불광1동,12,2,9486.0,1014.72,157.22,70.1,99.48,69.58,93.83,37.602766,126.928839
불광1동,12,3,7992.0,2326.4300000000003,449.2,197.16,309.73,15.48,258.84000000000003,37.602766,126.928839
갈현1동,1,0,5167.0,1085.93,127.15,129.9,112.91,173.29,118.73,37.602766,126.928839
갈현1동,1,1,5216.0,841.8199999999999,123.53,77.9,102.7,115.07,88.32,37.602766,126.928839
갈현1동,1,2,5436.0,781.1800000000001,130.15,75.66,97.35,37.03,88.64,37.602766,126.928839
갈현1동,1,3,3517.0,899.96,154.34,89.19,93.4,7.76,95.43,37.602766,126.928839
갈현1동,2,0,5158.0,1095.46,141.26,113.97,121.78,182.85,130.17,37.602766,126.928839
갈현1동,2,1,5196.0,839.3299999999999,126.67,75.06,96.45,116.19,83.07,37.602766,126.928839
갈현1동,2,2,5466.0,800.6700000000001,124.5,73.72,97.21,36.32,96.67,37.602766,126.928839
갈현1동,2,3,3560.0,927.42,163.86,85.65,94.34,7.34,103.73,37.602766,126.928839
갈현1동,3,0,5151.0,1084.2,167.89,138.27,145.16,166.6,132.48,37.602766,126.928839
갈현1동,3,1,5177.0,834.13,130.75,73.65,103.13,116.07,83.41,37.602766,126.928839
갈현1동,3,2,5496.0,807.09,116.97,77.44,98.8,34.59,102.4,37.602766,126.928839
갈현1동,3,3,3603.0,939.18,154.26,77.35,119.09,7.39,107.03,37.602766,126.928839
갈현1동,4,0,5142.0,1076.55,140.66,138.91,129.0,161.96,124.95,37.602766,126.928839
갈현1동,4,1,5157.0,831.5,114.08,82.28,99.56,117.33,79.96,37.602766,126.928839
갈현1동,4,2,5525.0,812.49,115.71,89.48,96.9,36.64,95.92,37.602766,126.928839
갈현1동,4,3,3646.0,934.4,147.78,88.03999999999999,110.51,7.65,105.26,37.602766,126.928839
갈현1동,5,0,5133.0,1030.34,120.62,138.81,102.21,157.51,118.86,37.602766,126.928839
갈현1동,5,1,5140.0,838.51,99.93,96.79,88.55,124.73,87.5,37.602766,126.928839
갈현1동,5,2,5555.0,810.95,114.18,82.09,97.08,38.89,96.47,37.602766,126.928839
갈현1동,5,3,3689.0,948.03,147.15,93.86,82.74000000000001,7.97,108.56,37.602766,126.928839
갈현1동,6,0,5126.0,1053.98,121.86,128.61,100.56,158.38,119.69,37.602766,126.928839
갈현1동,6,1,5120.0,836.55,99.85,87.78,84.72,122.36,85.47999999999999,37.602766,126.928839
갈현1동,6,2,5585.0,820.59,119.05,92.57,93.44,41.02,99.36,37.602766,126.928839
갈현1동,6,3,3732.0,954.31,135.07999999999998,93.23,89.67,8.98,102.8,37.602766,126.928839
갈현1동,7,0,5117.0,1059.86,120.32,131.82,113.01,160.33,118.45,37.602766,126.928839
갈현1동,7,1,5101.0,838.77,97.9,93.97,86.16,122.0,88.32,37.602766,126.928839
갈현1동,7,2,5614.0,831.36,115.62,87.44,99.88,40.97,99.3,37.602766,126.928839
갈현1동,7,3,3776.0,975.17,126.35,88.99000000000001,103.35,9.21,115.03,37.602766,126.928839
갈현1동,8,0,5109.0,1053.34,120.96,117.02,127.06,161.26,118.96,37.602766,126.928839
갈현1동,8,1,5081.0,837.41,90.05,85.03,88.35,123.34,86.53,37.602766,126.928839
갈현1동,8,2,5645.0,836.09,113.02,80.50999999999999,104.83,41.0,99.49,37.602766,126.928839
갈현1동,8,3,3820.0,993.67,113.61,91.58,103.6,9.57,112.8,37.602766,126.928839
갈현1동,9,0,5101.0,1056.44,139.87,132.71,135.8,167.59,114.42,37.602766,126.928839
갈현1동,9,1,5064.0,827.49,93.69,84.65,90.25,124.94,90.87,37.602766,126.928839
갈현1동,9,2,5676.0,846.4300000000001,115.43,92.19,108.88,42.27,103.03,37.602766,126.928839
갈현1동,9,3,3863.0,1021.36,116.2,90.19,105.76,9.63,116.48,37.602766,126.928839
갈현1동,10,0,5093.0,1040.31,132.07,129.2,123.96,161.07999999999998,116.51,37.602766,126.928839
갈현1동,10,1,5044.0,829.42,98.66,92.13,93.7,122.99,86.41,37.602766,126.928839
갈현1동,10,2,5706.0,842.58,119.52,90.35,98.77,43.36,97.84,37.602766,126.928839
갈현1동,10,3,3905.0,1070.59,129.21,97.03,101.69,9.59,124.63,37.602766,126.928839
갈현1동,11,0,5085.0,1029.07,125.92,122.65,104.9,154.37,107.98,37.602766,126.928839
갈현1동,11,1,5025.0,828.27,103.1,89.83,90.38,118.68,87.95,37.602766,126.928839
갈현1동,11,2,5736.0,851.0799999999999,122.04,87.01,100.47,44.510000000000005,99.65,37.602766,126.928839
갈현1동,11,3,3948.0,1042.88,139.72,95.31,108.2,9.5,120.14,37.602766,126.928839
갈현1동,12,0,3199.0,648.07,72.28999999999999,76.2,69.28,100.85,74.43,37.602766,126.928839
갈현1동,12,1,2778.0,455.47,50.03,45.0,52.22,70.05,52.08,37.602766,126.928839
갈현1동,12,2,3679.0,555.28,75.35,55.4,68.62,29.53,68.34,37.602766,126.928839
갈현1동,12,3,3188.0,883.8000000000001,110.64,82.96,91.84,6.99,106.12,37.602766,126.928839
갈현2동,1,0,6491.0,849.03,103.96,76.34,88.53,196.5,90.08,37.602766,126.928839
갈현2동,1,1,7618.0,823.54,105.27,62.55,102.31,164.36,91.63,37.602766,126.928839
갈현2동,1,2,6563.0,719.14,86.99000000000001,60.31,76.05,49.620000000000005,81.37,37.602766,126.928839
