기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리,대여소_ID,주소1,위도,경도
20240101,도착시간,1730.0,ST-1024,진관동_108_1,ST-453,진관동_038_9,1.0,7.0,930.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,출발시간,1725.0,ST-1024,진관동_108_1,ST-453,진관동_038_9,1.0,7.0,930.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,도착시간,240.0,ST-1024,진관동_108_1,ST-1028,진관동_038_2,1.0,6.0,1294.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,출발시간,235.0,ST-1024,진관동_108_1,ST-1028,진관동_038_2,1.0,6.0,1294.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,출발시간,220.0,ST-1024,진관동_108_1,ST-1483,진관동_038_4,1.0,2.0,573.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,도착시간,225.0,ST-1024,진관동_108_1,ST-1483,진관동_038_4,1.0,2.0,573.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,도착시간,1025.0,ST-1024,진관동_108_1,ST-452,진관동_013_1,1.0,12.0,1358.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,도착시간,1455.0,ST-1024,진관동_108_1,ST-476,진관동_069_3,1.0,30.0,2867.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,출발시간,1425.0,ST-1024,진관동_108_1,ST-476,진관동_069_3,1.0,30.0,2867.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240101,출발시간,1015.0,ST-1024,진관동_108_1,ST-452,진관동_013_1,1.0,12.0,1358.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240102,도착시간,1805.0,ST-1024,진관동_108_1,ST-1480,진관동_108_2,1.0,134.0,3825.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240102,출발시간,1550.0,ST-1024,진관동_108_1,ST-1480,진관동_108_2,1.0,134.0,3825.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240103,도착시간,150.0,ST-1024,진관동_108_1,ST-1023,진관동_016_1,1.0,4.0,524.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240103,출발시간,145.0,ST-1024,진관동_108_1,ST-1023,진관동_016_1,1.0,4.0,524.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240103,도착시간,310.0,ST-1024,진관동_108_1,ST-453,진관동_038_9,1.0,5.0,900.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240103,출발시간,300.0,ST-1024,진관동_108_1,ST-453,진관동_038_9,1.0,5.0,900.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240104,도착시간,915.0,ST-1024,진관동_108_1,ST-452,진관동_013_1,1.0,14.0,2170.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240104,출발시간,900.0,ST-1024,진관동_108_1,ST-452,진관동_013_1,1.0,14.0,2170.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240104,도착시간,730.0,ST-1024,진관동_108_1,ST-453,진관동_038_9,1.0,111.0,2648.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240104,출발시간,535.0,ST-1024,진관동_108_1,ST-453,진관동_038_9,1.0,111.0,2648.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,도착시간,130.0,ST-1024,진관동_108_1,ST-1480,진관동_108_2,1.0,4.0,410.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,도착시간,125.0,ST-1024,진관동_108_1,ST-1024,진관동_108_1,1.0,0.0,0.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,출발시간,125.0,ST-1024,진관동_108_1,ST-1024,진관동_108_1,1.0,0.0,0.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,출발시간,125.0,ST-1024,진관동_108_1,ST-1480,진관동_108_2,1.0,4.0,410.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,출발시간,145.0,ST-1024,진관동_108_1,ST-450,진관동_027_1,1.0,0.0,0.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,출발시간,210.0,ST-1024,진관동_108_1,ST-1480,진관동_108_2,1.0,2.0,410.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,도착시간,150.0,ST-1024,진관동_108_1,ST-450,진관동_027_1,1.0,0.0,0.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,도착시간,215.0,ST-1024,진관동_108_1,ST-1480,진관동_108_2,1.0,2.0,410.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,도착시간,1425.0,ST-1024,진관동_108_1,ST-450,진관동_027_1,1.0,51.0,6840.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,도착시간,1405.0,ST-1024,진관동_108_1,ST-453,진관동_038_9,1.0,7.0,941.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,출발시간,1355.0,ST-1024,진관동_108_1,ST-453,진관동_038_9,1.0,7.0,941.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240105,출발시간,1330.0,ST-1024,진관동_108_1,ST-450,진관동_027_1,1.0,51.0,6840.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240106,출발시간,1510.0,ST-1024,진관동_108_1,ST-1480,진관동_108_2,1.0,4.0,410.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240106,도착시간,1515.0,ST-1024,진관동_108_1,ST-1480,진관동_108_2,1.0,4.0,410.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240110,출발시간,2230.0,ST-1024,진관동_108_1,ST-1024,진관동_108_1,1.0,14.0,930.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240110,도착시간,2245.0,ST-1024,진관동_108_1,ST-1024,진관동_108_1,1.0,14.0,930.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
20240111,출발시간,245.0,ST-1024,진관동_108_1,ST-452,진관동_013_1,1.0,7.0,1210.0,ST-1024,서울특별시 은평구 진관동 44-28,37.644684,126.918457
