보충시작시각,보충타입,필요_보충_대수,순부족_대수,총출발건수,총도착건수,레코드수,year,month,day,weekday,is_weekend,hour_block,month_sin,month_cos,weekday_sin,weekday_cos,prev_need_bikes,prev_net_shortage,prev_departures,prev_arrivals,rolling_need_3,rolling_dep_3,rolling_arr_3
2024-01-02 04:00:00,새벽4시보충,1.0,0.0,6.0,6.0,12.0,2024,1,2,1,0,4,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,2.0,-1.0,8.0,9.0,2.6666666666666665,7.666666666666667,7.666666666666667
2024-01-02 16:00:00,오후4시보충,2.0,0.0,12.0,12.0,24.0,2024,1,2,1,0,16,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1.0,0.0,6.0,6.0,2.6666666666666665,9.333333333333334,9.666666666666666
2024-01-03 04:00:00,새벽4시보충,1.0,0.0,3.0,3.0,6.0,2024,1,3,2,0,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,2.0,0.0,12.0,12.0,1.6666666666666667,8.666666666666666,9.0
2024-01-03 16:00:00,오후4시보충,2.0,0.0,13.0,13.0,26.0,2024,1,3,2,0,16,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.0,0.0,3.0,3.0,1.3333333333333333,7.0,7.0
2024-01-04 04:00:00,새벽4시보충,2.0,2.0,5.0,3.0,8.0,2024,1,4,3,0,4,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,2.0,0.0,13.0,13.0,1.6666666666666667,9.333333333333334,9.333333333333334
2024-01-04 16:00:00,오후4시보충,1.0,-2.0,15.0,17.0,32.0,2024,1,4,3,0,16,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,2.0,2.0,5.0,3.0,1.6666666666666667,7.0,6.333333333333333
2024-01-05 04:00:00,새벽4시보충,2.0,0.0,7.0,7.0,14.0,2024,1,5,4,0,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,-2.0,15.0,17.0,1.6666666666666667,11.0,11.0
2024-01-05 16:00:00,오후4시보충,2.0,0.0,15.0,15.0,30.0,2024,1,5,4,0,16,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,2.0,0.0,7.0,7.0,1.6666666666666667,9.0,9.0
2024-01-06 04:00:00,새벽4시보충,3.0,0.0,11.0,11.0,21.0,2024,1,6,5,1,4,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2.0,0.0,15.0,15.0,1.6666666666666667,12.333333333333334,13.0
2024-01-06 16:00:00,오후4시보충,2.0,0.0,4.0,4.0,8.0,2024,1,6,5,1,16,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,3.0,0.0,11.0,11.0,2.3333333333333335,11.0,11.0
2024-01-07 04:00:00,새벽4시보충,1.0,0.0,2.0,2.0,4.0,2024,1,7,6,1,4,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,2.0,0.0,4.0,4.0,2.3333333333333335,10.0,10.0
2024-01-07 16:00:00,오후4시보충,1.0,0.0,4.0,4.0,8.0,2024,1,7,6,1,16,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,0.0,2.0,2.0,2.0,5.666666666666667,5.666666666666667
2024-01-08 04:00:00,새벽4시보충,3.0,3.0,5.0,2.0,7.0,2024,1,8,0,0,4,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0,0.0,4.0,4.0,1.3333333333333333,3.3333333333333335,3.3333333333333335
