기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리,대여소_ID,주소1,위도,경도
20240101,도착시간,1655.0,ST-1483,진관동_038_4,ST-3126,진관동_096_1,1.0,12.0,1161.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,도착시간,1655.0,ST-1483,진관동_038_4,ST-452,진관동_013_1,1.0,8.0,1440.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,출발시간,1700.0,ST-1483,진관동_038_4,ST-452,진관동_013_1,1.0,18.0,1588.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,도착시간,1735.0,ST-1483,진관동_038_4,ST-453,진관동_038_9,1.0,103.0,150.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,출발시간,1645.0,ST-1483,진관동_038_4,ST-3126,진관동_096_1,1.0,12.0,1161.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,출발시간,1645.0,ST-1483,진관동_038_4,ST-452,진관동_013_1,1.0,8.0,1440.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,도착시간,1840.0,ST-1483,진관동_038_4,ST-469,진관동_108_7,1.0,13.0,1172.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,도착시간,1720.0,ST-1483,진관동_038_4,ST-452,진관동_013_1,1.0,18.0,1588.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,도착시간,505.0,ST-1483,진관동_038_4,ST-1483,진관동_038_4,1.0,1.0,0.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,출발시간,505.0,ST-1483,진관동_038_4,ST-2260,진관동_001_2,2.0,46.0,7034.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,출발시간,505.0,ST-1483,진관동_038_4,ST-1483,진관동_038_4,1.0,1.0,0.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,도착시간,530.0,ST-1483,진관동_038_4,ST-2260,진관동_001_2,1.0,22.0,3400.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,도착시간,600.0,ST-1483,진관동_038_4,ST-1024,진관동_108_1,1.0,3.0,556.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,도착시간,525.0,ST-1483,진관동_038_4,ST-2260,진관동_001_2,1.0,24.0,3634.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
20240101,출발시간,600.0,ST-1483,진관동_038_4,ST-1024,진관동_108_1,1.0,3.0,556.0,ST-1483,서울특별시 은평구 진관2로 15-46,37.639259,126.918907
