기준_날짜,집계_기준,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리,기준_시간
20240102,출발시간,ST-2263,진관동_108_6,ST-1039,불광2동_001_1,1.0,4.0,694.0,1200.0
20240102,출발시간,ST-2263,진관동_108_6,ST-1481,진관동_038_3,1.0,8.0,2940.0,1200.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2470,불광1동_053_1,1.0,16.0,3070.0,1335.0
20240102,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,600.0,1320.0
20240102,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,600.0,1315.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2470,불광1동_053_1,1.0,16.0,3070.0,1315.0
20240102,도착시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1400.0,920.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1400.0,910.0
20240102,도착시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1490.0,1125.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1490.0,1120.0
20240102,도착시간,ST-2263,진관동_108_6,ST-1483,진관동_038_4,1.0,9.0,1246.0,1040.0
20240102,출발시간,ST-2263,진관동_108_6,ST-1483,진관동_038_4,1.0,9.0,1246.0,1030.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2782,갈현1동_039_1,1.0,8.0,1490.0,1700.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2263,진관동_108_6,1.0,114.0,725.0,1630.0
20240102,출발시간,ST-2263,진관동_108_6,ST-1035,불광2동_021_1,1.0,100.0,2343.0,1635.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2782,갈현1동_039_1,1.0,8.0,1490.0,1710.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2263,진관동_108_6,1.0,114.0,644.0,1435.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2263,진관동_108_6,1.0,114.0,725.0,1435.0
20240102,출발시간,ST-2263,진관동_108_6,ST-453,진관동_038_9,1.0,8.0,1270.0,1545.0
20240102,도착시간,ST-1027,진관동_038_1,ST-1035,불광2동_021_1,1.0,11.0,2418.0,1545.0
20240102,도착시간,ST-2263,진관동_108_6,ST-453,진관동_038_9,1.0,8.0,1270.0,1555.0
20240102,출발시간,ST-1027,진관동_038_1,ST-1035,불광2동_021_1,1.0,11.0,2418.0,1535.0
20240102,출발시간,ST-3126,진관동_096_1,ST-469,진관동_108_7,2.0,14.0,1708.0,1830.0
20240102,도착시간,ST-3126,진관동_096_1,ST-469,진관동_108_7,2.0,14.0,1708.0,1840.0
20240102,도착시간,ST-1027,진관동_038_1,ST-1023,진관동_016_1,1.0,17.0,3001.0,1820.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2824,갈현1동_032_1,1.0,7.0,1440.0,1815.0
20240102,도착시간,ST-2263,진관동_108_6,ST-1035,불광2동_021_1,1.0,100.0,2343.0,1815.0
20240102,출발시간,ST-1027,진관동_038_1,ST-1023,진관동_016_1,1.0,17.0,3001.0,1805.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2824,갈현1동_032_1,1.0,7.0,1440.0,1810.0
20240102,출발시간,ST-2263,진관동_108_6,ST-3028,불광2동_005_1,1.0,3.0,720.0,1945.0
20240102,도착시간,ST-2263,진관동_108_6,ST-3028,불광2동_005_1,1.0,3.0,720.0,1950.0
20240102,출발시간,ST-2263,진관동_108_6,ST-1033,불광2동_017_1,1.0,6.0,1280.0,1955.0
20240102,도착시간,ST-2263,진관동_108_6,ST-1484,불광1동_042_1,1.0,11.0,1996.0,2010.0
20240102,출발시간,ST-2263,진관동_108_6,ST-481,구산동_062_1,1.0,15.0,2790.0,2000.0
20240102,출발시간,ST-2263,진관동_108_6,ST-1484,불광1동_042_1,1.0,11.0,1996.0,2000.0
20240102,도착시간,ST-2263,진관동_108_6,ST-1033,불광2동_017_1,1.0,6.0,1280.0,2000.0
20240102,도착시간,ST-1027,진관동_038_1,ST-1329,진관동_031_1,1.0,10.0,2224.0,1930.0
20240102,출발시간,ST-1027,진관동_038_1,ST-1329,진관동_031_1,1.0,10.0,2224.0,1920.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1264.0,810.0
20240102,출발시간,ST-2263,진관동_108_6,ST-453,진관동_038_9,1.0,3.0,778.0,810.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,7.0,1401.0,805.0
20240102,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,4.0,714.0,805.0
20240102,도착시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,2.0,12.0,2665.0,815.0
20240102,도착시간,ST-2263,진관동_108_6,ST-453,진관동_038_9,1.0,3.0,778.0,810.0
20240102,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,4.0,714.0,810.0
20240102,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,600.0,740.0
20240102,도착시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,4.0,1410.0,735.0
20240102,도착시간,ST-2263,진관동_108_6,ST-1029,녹번동_041_1,1.0,20.0,4271.0,750.0
20240102,도착시간,ST-2263,진관동_108_6,ST-453,진관동_038_9,1.0,6.0,957.0,840.0
20240102,도착시간,ST-2263,진관동_108_6,ST-480,구산동_056_1,1.0,13.0,2740.0,835.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1400.0,840.0
20240102,도착시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,4.0,1473.0,850.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,4.0,1473.0,845.0
20240102,도착시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1400.0,845.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2824,갈현1동_032_1,1.0,10.0,1577.0,845.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2263,진관동_108_6,1.0,0.0,0.0,820.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2263,진관동_108_6,1.0,0.0,0.0,820.0
20240102,출발시간,ST-2263,진관동_108_6,ST-480,구산동_056_1,1.0,13.0,2740.0,820.0
20240102,출발시간,ST-2263,진관동_108_6,ST-453,진관동_038_9,1.0,6.0,957.0,830.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2824,갈현1동_032_1,1.0,10.0,1577.0,830.0
20240102,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,600.0,735.0
20240102,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,0.0,555.0
20240102,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,0.0,550.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2261,진관동_108_5,1.0,4.0,530.0,45.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2261,진관동_108_5,1.0,4.0,530.0,40.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,2540.0,720.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2261,진관동_108_5,1.0,2.0,520.0,720.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2261,진관동_108_5,1.0,2.0,520.0,720.0
20240102,출발시간,ST-2263,진관동_108_6,ST-471,불광1동_018_1,1.0,10.0,1569.0,715.0
20240102,출발시간,ST-2263,진관동_108_6,ST-1029,녹번동_041_1,1.0,20.0,4271.0,730.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,4.0,1390.0,725.0
20240102,도착시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,2.0,9.0,3930.0,725.0
20240102,도착시간,ST-2263,진관동_108_6,ST-471,불광1동_018_1,1.0,10.0,1569.0,725.0
20240102,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,4.0,1410.0,730.0
20240102,도착시간,ST-2263,진관동_108_6,ST-2263,진관동_108_6,1.0,11.0,680.0,655.0
20240102,도착시간,ST-2263,진관동_108_6,ST-456,갈현2동_038_1,1.0,9.0,2621.0,700.0
20240102,출발시간,ST-2263,진관동_108_6,ST-2263,진관동_108_6,1.0,11.0,680.0,645.0
20240102,출발시간,ST-2263,진관동_108_6,ST-456,갈현2동_038_1,1.0,9.0,2621.0,650.0
20240103,도착시간,ST-2263,진관동_108_6,ST-1039,불광2동_001_1,1.0,4.0,890.0,220.0
20240103,출발시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1451.0,940.0
20240103,도착시간,ST-1027,진관동_038_1,ST-453,진관동_038_9,1.0,5.0,1451.0,945.0
20240103,도착시간,ST-1027,진관동_038_1,ST-1483,진관동_038_4,1.0,10.0,1753.0,1540.0
20240103,출발시간,ST-1027,진관동_038_1,ST-1483,진관동_038_4,1.0,10.0,1753.0,1530.0
20240103,출발시간,ST-2263,진관동_108_6,ST-2782,갈현1동_039_1,1.0,9.0,1351.0,1250.0
20240103,도착시간,ST-2263,진관동_108_6,ST-2782,갈현1동_039_1,1.0,9.0,1351.0,1300.0
20240103,출발시간,ST-2263,진관동_108_6,ST-3058,진관동_038_8,1.0,7.0,798.0,1215.0
20240103,도착시간,ST-2263,진관동_108_6,ST-3058,진관동_038_8,1.0,7.0,798.0,1225.0
20240103,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,1070.0,735.0
20240103,출발시간,ST-3126,진관동_096_1,ST-1029,녹번동_041_1,1.0,22.0,4604.0,725.0
20240103,도착시간,ST-3126,진관동_096_1,ST-1029,녹번동_041_1,1.0,22.0,4604.0,745.0
20240103,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,1070.0,735.0
20240103,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,4.0,850.0,810.0
20240103,도착시간,ST-2263,진관동_108_6,ST-1039,불광2동_001_1,1.0,8.0,1080.0,145.0
20240103,출발시간,ST-2263,진관동_108_6,ST-1039,불광2동_001_1,1.0,4.0,890.0,215.0
20240103,출발시간,ST-2263,진관동_108_6,ST-1039,불광2동_001_1,1.0,8.0,1080.0,135.0
20240103,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,4.0,850.0,815.0
20240103,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,0.0,700.0
20240103,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,0.0,645.0
20240103,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,3.0,590.0,715.0
20240103,도착시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,0.0,705.0
20240103,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,3.0,590.0,710.0
20240103,출발시간,ST-3126,진관동_096_1,ST-453,진관동_038_9,1.0,2.0,0.0,640.0
